filename,left,top,right,bottom,company_name,full_name,position_name,address,phone_number,fax,mobile,email,url
2842.png,491,455,796,485,0,0,0,0,0,0,1,0,0
182.png,24,858,311,886,0,0,0,0,0,0,1,0,0
95.png,320,498,865,521,0,0,0,0,0,1,1,0,0
2491.png,65,39,497,118,1,0,0,0,0,0,0,0,0
3301.png,271,83,333,463,0,1,1,0,0,0,0,0,0
3240.png,441,45,985,96,1,0,0,0,0,0,0,0,0
1102.png,338,197,637,259,0,1,0,0,0,0,0,0,0
2141.png,344,817,588,843,0,0,0,0,1,0,0,0,0
3595.png,354,262,674,326,0,1,0,0,0,0,0,0,0
1787.png,156,224,389,249,0,0,0,0,0,1,0,0,0
2022.png,58,43,813,103,1,0,0,0,0,0,0,0,0
3577.png,517,266,789,329,0,1,0,0,0,0,0,0,0
90.png,5,898,586,958,1,0,0,0,0,0,0,0,0
694.png,56,317,564,796,0,1,0,1,0,0,0,0,0
2180.png,59,221,387,317,0,0,0,0,0,1,1,0,0
176.png,55,299,278,329,0,0,1,0,0,0,0,0,0
838.png,42,375,257,398,0,0,0,0,1,0,0,0,0
870.png,46,405,290,433,0,0,0,0,0,1,0,0,0
3661.png,350,351,656,382,0,0,0,0,1,0,0,0,0
1324.png,173,452,856,481,0,0,0,1,0,0,0,0,0
217.png,490,308,873,338,0,0,0,0,0,0,0,0,1
645.png,43,821,275,846,0,0,0,0,0,1,0,0,0
1294.png,9,169,320,238,0,1,0,0,0,0,0,0,0
358.png,579,441,968,481,0,0,0,0,0,0,0,0,1
2827.png,304,509,714,541,0,0,0,0,0,0,0,1,0
2716.png,139,184,513,219,0,0,1,0,0,0,0,0,0
1566.png,299,322,717,386,0,0,0,1,0,0,0,0,0
3572.png,51,537,965,592,1,0,0,0,0,0,0,0,0
2128.png,237,216,639,244,0,0,1,0,0,0,0,0,0
3423.png,60,327,327,358,0,0,0,1,0,0,0,0,0
3707.png,77,254,179,283,0,0,1,0,0,0,0,0,0
3811.png,37,441,422,474,0,0,0,0,0,0,0,1,0
178.png,169,168,429,197,0,0,0,0,1,0,0,0,0
3651.png,466,574,739,601,0,0,0,0,0,0,0,0,1
731.png,36,165,370,196,0,0,1,0,0,0,0,0,0
301.png,361,230,472,258,0,0,1,0,0,0,0,0,0
2121.png,482,537,872,571,0,0,0,0,0,0,0,0,1
245.png,53,303,264,326,0,0,0,0,1,0,0,0,0
2043.png,33,350,416,383,0,0,0,0,0,0,0,1,0
3583.png,344,54,950,101,1,0,0,0,0,0,0,0,0
3704.png,44,589,278,620,0,0,1,0,0,0,0,0,0
2667.png,292,521,319,1002,0,0,0,0,0,0,0,1,0
820.png,291,306,519,331,0,0,0,0,1,0,0,0,0
94.png,337,490,658,519,0,0,0,0,0,0,0,0,1
142.png,7,454,279,479,0,0,0,0,0,0,1,0,0
3442.png,467,489,702,512,0,0,0,0,1,0,0,0,0
2052.png,496,384,729,410,0,0,0,0,1,0,0,0,0
1968.png,74,293,324,357,0,1,0,0,0,0,0,0,0
1437.png,484,162,551,452,0,1,0,0,0,0,0,0,0
316.png,696,497,898,518,0,0,0,0,0,1,0,0,0
767.png,526,149,953,178,0,0,0,1,0,0,0,0,0
2595.png,784,59,981,146,1,0,0,0,0,0,0,0,0
2685.png,51,417,515,443,0,0,0,1,0,0,0,0,0
1567.png,353,518,383,928,0,0,0,0,0,0,1,0,0
530.png,0,456,334,488,0,0,0,0,0,0,1,0,0
2578.png,58,313,281,344,0,0,1,0,0,0,0,0,0
2449.png,299,502,771,536,0,0,0,0,0,0,0,1,0
740.png,30,405,453,435,0,0,0,1,0,0,0,0,0
646.png,327,33,993,79,1,0,0,0,0,0,0,0,0
2049.png,32,513,304,546,0,0,0,0,1,0,0,0,0
2449.png,299,327,718,391,0,0,0,1,0,0,0,0,0
3615.png,31,237,311,266,0,0,0,0,0,1,0,0,0
